timestamp,session_id,user_agent,referer,device_type,clicks_per_session,session_duration,time_between_requests,ua_entropy,referer_entropy,click_rate,suspicious_ua,cookies_enabled,time_of_day,request_path_depth,num_unique_pages,repeated_paths_ratio,is_bot
1750053222.350812,d664dff9-1d08-4e0c-9d64-353469e60b5a,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.19.5 (KHTML, like Gecko) Version/4.0 Safari/532.19.5",http://www.murray-greene.biz/,Desktop,19,3.801680385865918,0.2000884413613641,5.063044781861013,4.064203408622266,4.997789943268027,0,1,5,2.3684210526315788,18,0.052631578947368474,0
1750053222.3514743,e5c0de20-9a86-4c66-9e9e-062b4ba8e71a,Mozilla/5.0 (compatible; HeadlessChrome/88.0.4324.96),http://www.ware.com/,Headless,14,2.8514350046239283,0.20367392890170916,4.793773756368349,3.4841837197791885,4.909808562109043,1,1,5,2.357142857142857,13,0.0714285714285714,1
1750053222.3518615,a3eae170-e90c-474a-858f-022ebf35788d,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3; rv:1.9.3.20) Gecko/2250-10-16 20:19:18.735443 Firefox/5.0,https://www.freeman.org/,Desktop,15,1.8268057365777108,0.12178704910518072,5.047272262090724,3.8553885422075345,8.21105369862731,0,1,5,3.066666666666667,15,0.0,1
1750053222.3525007,71a61054-4539-4f6e-b38b-ee83c01c9a2b,Mozilla/5.0 (compatible; HeadlessChrome/88.0.4324.96),http://parks.biz/,Headless,13,0.8075198326819903,0.06211691020630695,4.793773756368349,3.572469458770136,16.098675814343167,1,1,5,2.923076923076923,13,0.0,1
1750053222.3528657,e7b9468a-70d0-44f7-babb-002ce60e79fc,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/45.0.863.0 Safari/531.1",https://www.hughes.com/,Mobile,15,13.118516734821895,0.8745677823214597,5.059171803184438,3.642489673166126,1.143421951064321,0,1,5,2.7333333333333334,15,0.0,0
1750053222.3531933,d2ef0cf8-6367-4a10-8b4b-d0513238b0c6,Mozilla/5.0 (compatible; HeadlessChrome/88.0.4324.96),http://www.rice-hammond.com/,Headless,7,3.780447451215389,0.5400639216021984,4.793773756368349,3.940759832540089,1.8516326679133037,1,1,5,2.4285714285714284,6,0.1428571428571429,1
1750053222.3534975,e4286b06-c091-4b3f-801c-6c96364e77a0,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/15.2h7102.0 Mobile/78I349 Safari/534.1",http://bailey.com/,Mobile,7,10.845305360487016,1.5493293372124308,5.142949534130048,3.794653473544342,0.6454405632047284,0,1,5,1.7142857142857142,7,0.0,0
1750053222.3539915,485648d7-f759-402a-95a0-79778a173711,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.0),http://www.horne-lowe.net/,Desktop,5,14.324017848704182,2.8648035697408365,4.8237714399593274,3.53641423712223,0.3490640721627084,0,1,5,1.6,4,0.19999999999999996,0
1750053222.3542917,3b8d22b1-1a81-41e0-a370-b5bb67f2495b,Opera/8.45.(Windows 95; tn-ZA) Presto/2.9.184 Version/11.00,http://campbell-lewis.biz/,Desktop,13,3.064501359347628,0.23573087379597138,4.748848930894364,3.9500637564362098,4.242125708427633,0,1,5,2.6153846153846154,13,0.0,0
1750053222.3545957,79fd2cd4-f029-41ae-b549-d32283478258,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/49.0.819.0 Mobile/45O388 Safari/533.1",http://www.camacho.com/,Desktop,20,14.015515909437003,0.7007757954718501,5.048510775195273,3.3816201079487342,1.426989925253732,0,1,5,2.45,19,0.050000000000000044,0
1750053222.3548927,60b58779-fee0-4a9a-85f7-cd94a208c2ef,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/22.0.831.0 Safari/533.1",http://www.taylor.org/,Mobile,8,19.36733403450479,2.4209167543130987,5.117295925539635,3.538310595615006,0.4130666608913349,0,1,5,2.875,8,0.0,0
1750053222.3551836,1bec99ac-70bb-40f4-8adc-67bbb226443e,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/10.6q4651.0 Mobile/79M821 Safari/535.2",https://www.carter.com/,Mobile,13,9.188488689463785,0.706806822266445,5.1132681353003635,3.6424896731661263,1.4148137348100327,0,1,5,2.8461538461538463,13,0.0,0
1750053222.3556755,b4ad07b1-6d39-4307-a29e-902caaaae8a5,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.0),https://www.hill-leonard.com/,Desktop,16,3.028830856751145,0.18930192854694655,4.813810203736037,4.090234012145145,5.282566361979781,0,1,5,3.0625,16,0.0,1
1750053222.3559856,bb216aab-f5f4-4d78-84dc-7da39782960a,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/5.1),http://richardson-williams.com/,Mobile,13,18.732030673088154,1.4409254363913964,4.782560203736037,4.066784213473103,0.6939984365217157,0,1,5,3.076923076923077,13,0.0,0
1750053222.3563015,17b69429-609a-470c-a41a-a46e050d3cce,Mozilla/5.0 (compatible; HeadlessChrome/88.0.4324.96),https://www.boyd.com/,Headless,7,4.414220534894711,0.6306029335563873,4.793773756368349,3.653756708287001,1.585783932783722,1,1,5,2.2857142857142856,7,0.0,1
1750053222.3564866,f5935b01-4039-49f7-9116-8c4fa815c41e,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/6402-07-27 00:56:12.271667 Firefox/3.6.18,https://www.norton-turner.net/,Mobile,10,1.8092904437986521,0.1809290443798652,4.81848427571907,3.5777471629109447,5.527028584202734,0,1,5,2.7,10,0.0,1
1750053222.3568623,cb650883-0528-4d46-ba68-e8490cf9bfc7,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/3.1),https://fischer.info/,Desktop,8,13.218652589788386,1.6523315737235482,4.8237714399593274,3.689703732199547,0.6052054054420134,0,0,5,2.25,8,0.0,0
1750053222.3572223,2a5e7e81-5e6c-43d2-aa87-c63beb930059,Mozilla/5.0 (compatible; HeadlessChrome/88.0.4324.96),http://www.vaughan.biz/,Headless,8,2.263373862781771,0.2829217328477214,4.793773756368349,3.7622673906514947,3.5345464271499987,1,1,5,2.5,8,0.0,1
1750053222.3575444,3982fb34-5900-44fb-94ab-f6cfaddd6672,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/535.30.6 (KHTML, like Gecko) Version/4.1 Safari/535.30.6",http://www.sullivan-hendrix.net/,Desktop,9,14.226630243135988,1.5807366936817764,5.044696158007801,4.093139062229566,0.6326164275157349,0,1,5,1.7777777777777777,9,0.0,0
1750053222.3578475,c438808d-d89c-47ed-be6a-7e7b6c31c173,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; sw-TZ) AppleWebKit/535.40.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6535.40.2",https://garcia.biz/,Desktop,7,5.455133524285952,0.7793047891837075,5.2093255007185055,3.6818808028034042,1.2831949885069518,0,1,5,2.857142857142857,7,0.0,0
